Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
08/11/2015,18:00,Napoli,Udinese,1,0,H
08/11/2015,20:45,Sampdoria,Fiorentina,0,2,A
21/11/2015,18:00,Bologna,AS Roma,2,2,D
21/11/2015,20:45,Juventus,AC Milan,1,0,H
22/11/2015,12:30,Hellas Verona,Napoli,0,2,A
22/11/2015,15:00,Atalanta,Torino,0,1,A
22/11/2015,,Carpi,Chievo,1,2,A
22/11/2015,,Fiorentina,Empoli,2,2,D
22/11/2015,,Genoa,Sassuolo,2,1,H
22/11/2015,,Lazio,Palermo,1,1,D
22/11/2015,,Udinese,Sampdoria,1,0,H
22/11/2015,20:45,Inter,Frosinone,4,0,H
28/11/2015,18:00,Torino,Bologna,2,0,H
28/11/2015,20:45,AC Milan,Sampdoria,4,1,H
29/11/2015,15:00,Chievo,Udinese,2,3,A
29/11/2015,,Frosinone,Hellas Verona,3,2,H
29/11/2015,,Genoa,Carpi,1,2,A
29/11/2015,,AS Roma,Atalanta,0,2,A
29/11/2015,18:00,Empoli,Lazio,1,0,H
29/11/2015,20:45,Palermo,Juventus,0,3,A
30/11/2015,19:00,Sassuolo,Fiorentina,1,1,D
30/11/2015,21:00,Napoli,Inter,2,1,H
04/12/2015,20:45,Lazio,Juventus,0,2,A
05/12/2015,15:00,Torino,AS Roma,1,1,D
05/12/2015,20:45,Inter,Genoa,1,0,H
06/12/2015,12:30,Bologna,Napoli,3,2,H
06/12/2015,15:00,Atalanta,Palermo,3,0,H
06/12/2015,,Fiorentina,Udinese,3,0,H
06/12/2015,,Frosinone,Chievo,0,2,A
06/12/2015,,Hellas Verona,Empoli,0,1,A
06/12/2015,18:00,Sampdoria,Sassuolo,1,3,A
06/12/2015,20:45,Carpi,AC Milan,0,0,D
12/12/2015,15:00,Genoa,Bologna,0,1,A
12/12/2015,18:00,Palermo,Frosinone,4,1,H
12/12/2015,20:45,Udinese,Inter,0,4,A
13/12/2015,15:00,Chievo,Atalanta,1,0,H
13/12/2015,,Empoli,Carpi,3,0,H
13/12/2015,,AC Milan,Hellas Verona,1,1,D
13/12/2015,18:00,Napoli,AS Roma,0,0,D
13/12/2015,20:45,Juventus,Fiorentina,3,1,H
14/12/2015,20:45,Lazio,Sampdoria,1,1,D
20/01/2016,20:45,Sassuolo,Torino,1,1,D
19/12/2015,20:45,Bologna,Empoli,2,3,A
20/12/2015,12:30,Carpi,Juventus,2,3,A
20/12/2015,15:00,Atalanta,Napoli,1,3,A
20/12/2015,,Fiorentina,Chievo,2,0,H
20/12/2015,,Hellas Verona,Sassuolo,1,1,D
20/12/2015,,AS Roma,Genoa,2,0,H
20/12/2015,18:00,Frosinone,AC Milan,2,4,A
20/12/2015,,Sampdoria,Palermo,2,0,H
20/12/2015,,Torino,Udinese,0,1,A
20/12/2015,20:45,Inter,Lazio,1,2,A
05/01/2016,20:45,Genoa,Sampdoria,2,3,A
06/01/2016,12:30,Udinese,Atalanta,2,1,H
06/01/2016,15:00,Chievo,AS Roma,3,3,D
06/01/2016,,Juventus,Hellas Verona,3,0,H
06/01/2016,,Lazio,Carpi,0,0,D
06/01/2016,,AC Milan,Bologna,0,1,A
06/01/2016,,Palermo,Fiorentina,1,3,A
06/01/2016,,Sassuolo,Frosinone,2,2,D
06/01/2016,18:00,Empoli,Inter,0,1,A
06/01/2016,20:45,Napoli,Torino,2,1,H
09/01/2016,15:00,Carpi,Udinese,2,1,H
09/01/2016,18:00,Fiorentina,Lazio,1,3,A
09/01/2016,20:45,AS Roma,AC Milan,1,1,D
10/01/2016,12:30,Inter,Sassuolo,0,1,A
10/01/2016,15:00,Atalanta,Genoa,0,2,A
10/01/2016,,Bologna,Chievo,0,1,A
10/01/2016,,Frosinone,Napoli,1,5,A
10/01/2016,,Hellas Verona,Palermo,0,1,A
10/01/2016,,Torino,Empoli,0,1,A
10/01/2016,20:45,Sampdoria,Juventus,1,2,A
16/01/2016,15:00,Atalanta,Inter,1,1,D
16/01/2016,18:00,Torino,Frosinone,4,2,H
16/01/2016,20:45,Napoli,Sassuolo,3,1,H
17/01/2016,12:30,Genoa,Palermo,4,0,H
17/01/2016,15:00,Chievo,Empoli,1,1,D
17/01/2016,,AS Roma,Hellas Verona,1,1,D
17/01/2016,,Udinese,Juventus,0,4,A
17/01/2016,,Bologna,Lazio,2,2,D
17/01/2016,,Carpi,Sampdoria,2,1,H
17/01/2016,20:45,AC Milan,Fiorentina,2,0,H
23/01/2016,18:00,Frosinone,Atalanta,0,0,D
23/01/2016,20:45,Empoli,AC Milan,2,2,D
24/01/2016,12:30,Fiorentina,Torino,2,0,H
24/01/2016,15:00,Sassuolo,Bologna,0,2,A
24/01/2016,,Inter,Carpi,1,1,D
24/01/2016,,Lazio,Chievo,4,1,H
24/01/2016,,Hellas Verona,Genoa,1,1,D
24/01/2016,,Sampdoria,Napoli,2,4,A
24/01/2016,,Palermo,Udinese,4,1,H
24/01/2016,20:45,Juventus,AS Roma,1,0,H
30/01/2016,15:00,Carpi,Palermo,1,1,D
30/01/2016,18:00,Atalanta,Sassuolo,1,1,D
30/01/2016,20:45,AS Roma,Frosinone,3,1,H
31/01/2016,12:30,Chievo,Juventus,0,4,A
31/01/2016,15:00,Napoli,Empoli,5,1,H
31/01/2016,,Genoa,Fiorentina,0,0,D
31/01/2016,,Torino,Hellas Verona,0,0,D
31/01/2016,,Udinese,Lazio,0,0,D
31/01/2016,,Bologna,Sampdoria,3,2,H
31/01/2016,20:45,AC Milan,Inter,3,0,H
02/02/2016,20:45,Sassuolo,AS Roma,0,2,A
03/02/2016,18:30,Frosinone,Bologna,1,0,H
03/02/2016,20:45,Hellas Verona,Atalanta,2,1,H
03/02/2016,,Fiorentina,Carpi,2,1,H
03/02/2016,,Inter,Chievo,1,0,H
03/02/2016,,Juventus,Genoa,1,0,H
03/02/2016,,Palermo,AC Milan,0,2,A
03/02/2016,,Lazio,Napoli,0,2,A
03/02/2016,,Sampdoria,Torino,2,2,D
