Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
17/10/2021,,Real Sociedad B,Real Oviedo,1,1,D
17/10/2021,21:00,Ponferradina,Fuenlabrada,0,0,D
17/10/2021,14:00,Ibiza,Mirandes,0,2,A
19/10/2021,19:00,Huesca,Malaga,0,0,D
19/10/2021,21:00,Tenerife,Eibar,0,1,A
19/10/2021,19:00,Cartagena,Sporting Gijon,1,0,H
20/10/2021,19:00,Fuenlabrada,Amorebieta,0,0,D
20/10/2021,,Valladolid,Ibiza,1,1,D
20/10/2021,21:00,Alcorcon,Leganes,3,3,D
20/10/2021,,Lugo,Las Palmas,2,0,H
21/10/2021,19:00,Real Zaragoza,Ponferradina,1,1,D
21/10/2021,21:00,Mirandes,Girona,1,2,A
21/10/2021,,Real Oviedo,Burgos,1,3,A
21/10/2021,18:45,Almeria,Real Sociedad B,3,1,H
22/10/2021,21:00,Eibar,Cartagena,2,1,H
23/10/2021,18:15,Sporting Gijon,Valladolid,1,2,A
23/10/2021,20:30,Malaga,Lugo,1,0,H
23/10/2021,21:00,Leganes,Tenerife,1,2,A
23/10/2021,16:00,Ibiza,Fuenlabrada,3,1,H
24/10/2021,14:00,Amorebieta,Real Sociedad B,1,2,A
24/10/2021,,Mirandes,Almeria,1,4,A
24/10/2021,18:15,Burgos,Huesca,3,1,H
24/10/2021,,Ponferradina,Real Oviedo,1,2,A
24/10/2021,21:00,Las Palmas,Alcorcon,3,0,H
25/10/2021,21:00,Girona,Real Zaragoza,1,1,D
29/10/2021,21:00,Almeria,Leganes,1,0,H
29/10/2021,,Real Sociedad B,Las Palmas,0,1,A
30/10/2021,18:15,Lugo,Sporting Gijon,1,1,D
30/10/2021,21:00,Cartagena,Ponferradina,0,1,A
30/10/2021,16:00,Huesca,Amorebieta,1,1,D
31/10/2021,14:00,Fuenlabrada,Girona,1,2,A
31/10/2021,16:00,Real Oviedo,Malaga,2,1,H
31/10/2021,18:15,Valladolid,Eibar,2,0,H
31/10/2021,20:30,Real Zaragoza,Mirandes,1,1,D
01/11/2021,18:15,Tenerife,Burgos,4,0,H
01/11/2021,16:00,Alcorcon,Ibiza,0,2,A
02/11/2021,19:00,Ponferradina,Huesca,1,1,D
02/11/2021,,Sporting Gijon,Almeria,0,1,A
02/11/2021,21:15,Leganes,Cartagena,1,1,D
03/11/2021,19:00,Mirandes,Lugo,3,2,H
03/11/2021,21:15,Eibar,Real Oviedo,1,0,H
03/11/2021,,Las Palmas,Fuenlabrada,2,1,H
